metric,profile,baseline,topology,load_tps,n_pairs,baseline_mean,profile_mean,delta_improvement_ms,delta_improvement_pct,ci_low,ci_high,ci_halfwidth_rel,p_value,significant,holm_p,holm_reject
p95_ms,C4,C0,T1_vpn,400,3,28863.133333,304.800000,28558.333333,98.943982,28500.000000,28625.000000,0.002165,0.000100,True,,
p95_ms,C4,C0,T2_three_region_emulated,25,3,2103.000000,486.333333,1616.666667,76.874307,1600.000000,1650.000000,0.011888,0.000100,True,,
p95_ms,C4,C0,T2_three_region_emulated,50,3,2119.666667,486.333333,1633.333333,77.056141,1625.000000,1650.000000,0.005897,0.000100,True,,
p95_ms,C4,C0,T2_three_region_emulated,100,3,2094.666667,478.000000,1616.666667,77.180140,1600.000000,1650.000000,0.011935,0.000100,True,,
p95_ms,C4,C0,T2_three_region_emulated,200,3,6878.000000,486.333333,6391.666667,92.929146,6325.000000,6500.000000,0.012722,0.000100,True,,
p95_ms,C4,C0,T2_three_region_emulated,400,3,28861.333333,494.666667,28366.666667,98.286057,28275.000000,28500.000000,0.003898,0.000100,True,,
p99_ms,C1,C0,T0_local,25,3,2026.400000,1026.400000,1000.000000,49.348598,1000.000000,1000.000000,0.000000,0.000100,True,0.006000,True
p99_ms,C1,C0,T0_local,50,3,2001.400000,1026.400000,975.000000,48.715899,975.000000,975.000000,0.000000,0.000100,True,0.006000,True
p99_ms,C1,C0,T0_local,100,3,2026.400000,1026.400000,1000.000000,49.348598,1000.000000,1000.000000,0.000000,0.000100,True,0.006000,True
p99_ms,C1,C0,T0_local,200,3,7368.066667,1026.400000,6341.666667,86.069616,6325.000000,6350.000000,0.001697,0.000100,True,0.006000,True
p99_ms,C1,C0,T0_local,400,3,29851.400000,6409.733333,23441.666667,78.527864,23400.000000,23475.000000,0.001256,0.000100,True,0.006000,True
p99_ms,C1,C0,T1_vpn,25,3,2063.133333,1054.800000,1008.333333,48.873881,1000.000000,1025.000000,0.006059,0.000100,True,0.006000,True
p99_ms,C1,C0,T1_vpn,50,3,2054.800000,1071.466667,983.333333,47.855428,975.000000,1000.000000,0.006083,0.000100,True,0.006000,True
p99_ms,C1,C0,T1_vpn,100,3,2054.800000,1054.800000,1000.000000,48.666537,1000.000000,1000.000000,0.000000,0.000100,True,0.006000,True
p99_ms,C1,C0,T1_vpn,200,3,7396.466667,1063.133333,6333.333333,85.626470,6300.000000,6350.000000,0.003380,0.000100,True,0.006000,True
p99_ms,C1,C0,T1_vpn,400,3,29838.133333,6446.466667,23391.666667,78.395208,23350.000000,23425.000000,0.001257,0.000100,True,0.006000,True
p99_ms,C1,C0,T2_three_region_emulated,25,3,2186.333333,1244.666667,941.666667,43.070590,850.000000,1025.000000,0.040021,0.000100,True,0.006000,True
p99_ms,C1,C0,T2_three_region_emulated,50,3,2261.333333,1244.666667,1016.666667,44.958726,950.000000,1050.000000,0.022111,0.000100,True,0.006000,True
p99_ms,C1,C0,T2_three_region_emulated,100,3,2178.000000,1236.333333,941.666667,43.235384,925.000000,950.000000,0.005739,0.000100,True,0.006000,True
p99_ms,C1,C0,T2_three_region_emulated,200,3,7494.666667,1261.333333,6233.333333,83.170254,6125.000000,6325.000000,0.013343,0.000100,True,0.006000,True
p99_ms,C1,C0,T2_three_region_emulated,400,3,29544.666667,6603.000000,22941.666667,77.650789,22700.000000,23300.000000,0.010154,0.000100,True,0.006000,True
p99_ms,C2,C0,T0_local,25,3,2026.400000,776.400000,1250.000000,61.685748,1250.000000,1250.000000,0.000000,0.000100,True,0.006000,True
p99_ms,C2,C0,T0_local,50,3,2001.400000,776.400000,1225.000000,61.207155,1225.000000,1225.000000,0.000000,0.000100,True,0.006000,True
p99_ms,C2,C0,T0_local,100,3,2026.400000,776.400000,1250.000000,61.685748,1250.000000,1250.000000,0.000000,0.000100,True,0.006000,True
p99_ms,C2,C0,T0_local,200,3,7368.066667,776.400000,6591.666667,89.462636,6575.000000,6600.000000,0.001697,0.000100,True,0.006000,True
