run_id,config,topology,load_tps,repeat,trace_id,provenance,n_submitted,n_success,n_timeout,window_s,p50_ms,p95_ms,p99_ms,all_p50_ms,all_p95_ms,all_p99_ms,convergence_p99_ms,goodput_tps,availability_pct,consistency_pct,p99_drift_pct,observed_block_interval_ms,tx_per_block_mean,queue_slope_tx_per_s,queue_slope_ci_low,queue_slope_ci_high,queue_depth_p95,cpu_p95_pct,cpu_max_pct,cpu_saturated_s,disk_p99_ms,mem_p95_mib
RUN-0024,C1,T0_local,200,2,L200-R02,SIMULATED,4000,4000,0,19.999186,551.400000,976.400000,1026.400000,551.400000,976.400000,1026.400000,25.000000,200.008145,100.000000,100.000000,0.000000,1000.000000,200.000000,0.612500,-0.400000,1.461538,117.000000,29.001770,30.542268,0.000000,5.824613,1957.827200
RUN-0025,C1,T0_local,200,3,L200-R03,SIMULATED,4000,4000,0,19.995274,551.400000,1001.400000,1026.400000,551.400000,1001.400000,1026.400000,25.000000,200.047271,100.000000,100.000000,0.000000,1000.000000,200.000000,0.750000,-0.100000,1.363636,116.000000,28.439485,28.778848,0.000000,3.383437,1956.905600
RUN-0049,C1,T0_local,400,1,L400-R01,SIMULATED,8000,8000,0,19.996597,3876.400000,6101.400000,6426.400000,3876.400000,6101.400000,6426.400000,25.000000,400.068062,100.000000,100.000000,54.743657,1000.000000,322.580645,77.800000,76.400000,79.111111,1916.000000,38.760974,39.210699,0.000000,4.758483,3615.785600
RUN-0048,C1,T0_local,400,2,L400-R02,SIMULATED,8000,8000,0,19.999390,4076.400000,6076.400000,6401.400000,4076.400000,6076.400000,6401.400000,25.000000,400.012195,100.000000,100.000000,46.313031,1000.000000,322.580645,72.183333,69.909091,74.666667,1904.000000,37.412054,37.825380,0.000000,6.280583,3604.726400
RUN-0056,C1,T0_local,400,3,L400-R03,SIMULATED,8000,8000,0,19.998896,3876.400000,6076.400000,6401.400000,3876.400000,6076.400000,6401.400000,25.000000,400.022084,100.000000,100.000000,55.338697,1000.000000,322.580645,74.206294,72.571429,75.764706,1906.000000,38.246624,38.649786,0.000000,5.114170,3606.569600
RUN-0110,C1,T1_vpn,25,1,L25-R01,SIMULATED,500,500,0,19.961527,604.800000,1029.800000,1054.800000,604.800000,1029.800000,1054.800000,25.000000,25.048183,100.000000,100.000000,0.000000,1000.000000,25.000000,0.000000,-0.166667,0.500000,19.000000,14.769966,15.898630,0.000000,7.430554,1867.510400
RUN-0120,C1,T1_vpn,25,2,L25-R02,SIMULATED,500,500,0,19.989688,579.800000,1029.800000,1054.800000,579.800000,1029.800000,1079.800000,50.000000,25.012896,100.000000,100.000000,0.000000,1000.000000,25.000000,0.100000,-0.100000,0.333333,17.000000,13.874905,14.271589,0.000000,4.461846,1865.667200
RUN-0108,C1,T1_vpn,25,3,L25-R03,SIMULATED,500,500,0,19.970211,604.800000,1029.800000,1054.800000,629.800000,1054.800000,1079.800000,25.000000,25.037292,100.000000,100.000000,-2.315244,1000.000000,25.000000,-0.363971,-0.714286,0.000000,20.000000,14.067517,14.259462,0.000000,7.961836,1868.432000
RUN-0136,C1,T1_vpn,50,1,L50-R01,SIMULATED,1000,1000,0,19.997491,554.800000,1029.800000,1079.800000,554.800000,1029.800000,1079.800000,25.000000,50.006273,100.000000,100.000000,2.370118,1000.000000,48.076923,0.186813,-0.250000,0.500000,30.000000,16.070228,16.821788,0.000000,4.640400,1877.648000
RUN-0150,C1,T1_vpn,50,2,L50-R02,SIMULATED,1000,1000,0,19.987437,579.800000,1029.800000,1054.800000,579.800000,1029.800000,1079.800000,50.000000,50.031428,100.000000,100.000000,-2.315244,1000.000000,50.000000,-0.240385,-0.769231,0.250000,33.000000,15.624794,15.703622,0.000000,9.328840,1880.412800
RUN-0149,C1,T1_vpn,50,3,L50-R03,SIMULATED,1000,1000,0,19.988535,579.800000,1029.800000,1079.800000,579.800000,1029.800000,1079.800000,25.000000,50.028679,100.000000,100.000000,-2.315244,1000.000000,50.000000,-0.547009,-0.900000,0.000000,36.000000,16.304955,16.958176,0.000000,3.494228,1883.177600
RUN-0089,C1,T1_vpn,100,1,L100-R01,SIMULATED,2000,2000,0,19.998204,554.800000,1004.800000,1054.800000,579.800000,1029.800000,1079.800000,25.000000,100.008983,100.000000,100.000000,0.000000,1000.000000,96.153846,0.000000,-0.555556,0.666667,61.000000,20.068116,20.835429,0.000000,4.929749,1906.217600
