member,seed_node,catastrophe,T_cat,terminal_cascade_size,peak_backlog,max_dalA,nan_flag,fault_magnitude,seed_index,backlog_pert,history_phase,history_amp,alpha,beta,prop_mult,backlog_mult,conflict_mult,reconf_mult,xi_mult,delay_mult
26,RDC1,False,,0.0,0.5760287754742885,0.11861489222981336,False,0.48525066534987943,0.00874054791506873,0.09746378632737565,0.1751167777839431,0.0027473746874872983,0.8052875003883163,0.8469334683605214,1.0330161159535003,1.0798967910629675,1.0320478161354218,0.9726802015164471,1.0318308147279864,0.9843217462820186
27,RDC10,False,,0.0,0.5339088092525721,0.1069766220193868,False,0.6178150242741121,0.9564541115355277,0.023952512012353648,0.7862873554055468,0.017134295519305877,0.8378781298276753,0.8152230154306194,1.0091458356117375,1.0503953441746592,0.9216521452147967,0.950195306517571,0.961272737691539,0.8198071151830402
28,RDC4,False,,0.0,0.4180970840528665,0.052794936897570276,False,0.4631456534192555,0.3293446893423117,0.07127754024451924,0.4363673836661776,0.031112923097832004,0.7571174657004172,0.8358236351025568,0.9043792491563404,0.9592284747312977,0.943235440049888,0.914691352024396,0.9500258731818306,1.1692700485227618
29,RDC7,False,,0.0,0.5189008860303355,0.09499061080849765,False,0.5693136575213565,0.6299956291317619,0.0058886062282704765,0.07705311164448136,0.018965534793111766,0.8359336925946802,0.8240536577675026,1.0296966582559017,1.0813321520771582,0.9720683457634773,1.022932605364781,0.9603073161703357,1.130849613257707
30,RDC8,False,,0.0,0.5312886123735387,0.10543435410203267,False,0.4561346677267303,0.7983694379574784,0.09265391070913642,0.14093388367644427,0.01813522394403294,0.823537776743442,0.7655421103299503,1.0725154208487073,1.0212042958407848,1.0311349986264995,1.0648645790839857,1.025440251003202,1.0101582486130793
31,RDC5,False,,0.0,0.4692919258060247,0.09174450393593565,False,0.643270109244069,0.43850134458210716,0.05926109336373317,0.32837445704873036,0.0435957029769769,0.7514272951716434,0.7930641800372187,0.9611652876885155,0.9026832595235831,0.9398530798932765,0.9013931394235365,1.0188377886090185,0.9173260474992413
32,RDC8,False,,0.0,0.7176503585736141,0.1677568700748437,False,0.5079335915629493,0.7850151103239448,0.08074732783924546,0.7083216416640795,0.020593326458578455,0.7917561775572624,0.764920127685068,1.0872151564007082,1.0335785648401703,0.9925719624316959,0.9347626029613468,1.013051059215838,1.1725946308679387
33,RDC2,False,,0.0,0.6221229385047415,0.13170912903734017,False,0.44152657096644754,0.12139018306344336,0.01074701062084959,0.401465490762079,0.023927499329397837,0.7870713738702004,0.8304355529302394,1.0670850793740678,1.0931941076526086,1.0792450556348483,0.9996855367115518,1.0023687950119387,0.8985765787391857
34,RDC4,False,,0.0,0.46565838069252075,0.07312093336712436,False,0.49746304257943125,0.3887633326739768,0.04653201864339214,0.6341464506568342,0.03663551358218456,0.8423447806194119,0.7905734677954488,1.0065369216668179,1.036580010771743,0.9192368454771236,1.037143970812647,0.9986454947616841,1.024889870218431
35,RDC1,False,,0.0,0.3764753360246068,0.02449083985781222,False,0.5760854436035387,0.07184481537416691,0.07541187502959953,0.5662885364419187,0.0005287941290805769,0.8210421882714081,0.8030313948351443,0.9017981964757749,0.9150188770169265,0.9901583159047014,1.005982267174586,0.9667000384035532,0.8501619766023937
36,RDC7,False,,0.0,0.537855597516629,0.10916430284907518,False,0.6065883016544241,0.6742848236102644,0.057463791294313,0.12155893841816928,0.005880236405620014,0.8092439213394946,0.8095064900573123,1.0640694573270209,1.0122834217051357,1.0459588761164196,1.0432008778591804,0.9597449502915854,0.9780478170004061
37,RDC3,False,,0.0,0.4106502261325662,0.03151663285318828,False,0.5170083360521437,0.2342076154458586,0.003930978710658357,0.7725262555851803,0.031899578915036364,0.7845372457806152,0.8343640585461913,0.9201744091264126,1.0913174368951848,0.9466699135894909,1.0199293556650686,1.022937574331535,1.0822983400572785
38,RDC6,False,,0.0,0.5576625881875575,0.12306050393293826,False,0.6103024025459878,0.5071662555232562,0.01625733898258583,0.5067911600821489,0.04986489508303516,0.7783040828432712,0.831291387640037,1.0540476280553701,0.9757345104196272,0.9838072848186317,0.9803365298735116,0.9957237456266431,1.0203751639400591
39,RDC1,False,,0.0,0.49865240721966486,0.08671454983718473,False,0.6125424752839246,0.033982803863615726,0.05399529418667392,0.5543361849919296,0.036064750498968116,0.8260061821131668,0.7826193997946764,0.9776640634008443,1.0701923776305509,1.0371712425160116,0.967095440986286,1.00353083382828,0.9298102581634288
40,RDC9,False,,0.0,0.5663719108978151,0.13190251976176004,False,0.6158665950846761,0.8298477725222466,0.09523291100160063,0.6136736777368664,0.011802921392655928,0.7883454666818156,0.8232872054297249,1.0814177423770546,0.905216049202718,1.0575051843698553,1.003723760090972,1.0494081968818607,1.0970493865828557
41,RDC5,False,,0.0,0.45577487797779787,0.06853405990695037,False,0.5882627237204722,0.4474459541331847,0.04435858596042692,0.9158894214564175,0.02227672887833712,0.8499869577412079,0.7722209640153519,0.9982051869907671,1.0114167930891707,1.0832762848802693,1.0570170192065675,0.9546022093876189,0.8705223503244861
42,RDC10,False,,0.0,0.6187931499037065,0.1443717528632335,False,0.5989588743625963,0.9734643582892708,0.06667914698848151,0.36365428541922634,0.0346582383233598,0.7535599273558717,0.7877392428441171,1.0962741897972648,0.9799885143741072,0.9805613951272589,0.9923820638043865,0.9687890527222758,1.185719995839246
43,RDC2,False,,0.0,0.4547668675118633,0.07976512032876322,False,0.5258394023596826,0.14698413967747856,0.0793848192995189,0.5258628564734604,0.03377948957879325,0.8002472883447629,0.7624548490831049,0.9954450961795074,0.9185171637295977,0.9688814946507038,0.9973841455090731,0.9524029329244632,0.8130310539651787
44,RDC6,False,,0.0,0.45197907804926235,0.07578917787302125,False,0.6290591714433597,0.5783456180056369,0.07364735309367902,0.06750751828200893,0.013716810654268115,0.7869509273790873,0.7600823838844353,1.0125291532809426,0.9271608425359302,1.0536961822789697,1.0478745235437041,1.047260798762741,0.8097339804502871
45,RDC5,False,,0.0,0.6161060244409207,0.1334217549969599,False,0.5666868746826849,0.4268608071602876,0.04394582989593184,0.8824158439933666,0.040394592860592826,0.7977322919951648,0.8047671204891319,1.058867251878159,1.0854192612655817,0.963782523241888,0.9682545108241969,1.0428266924477496,0.9751360388466912
46,RDC8,False,,0.0,0.5204516536199647,0.0962629972356966,False,0.5549710382844276,0.7654082245802585,0.08806526359243173,0.1310526630286452,0.028719585494499364,0.7558361101639427,0.8056921927224908,1.0366725622356097,1.059405549202848,1.0989743122068676,1.0417554447561295,1.032438883902993,0.9042328092271389
47,RDC3,False,,0.0,0.5288447322533929,0.10585797970692347,False,0.6234306092949651,0.24712933253893254,0.09888425755772443,0.35401906976251474,0.03422421021267477,0.8062447339703959,0.8269981396313045,1.0936959710111955,1.0047699904484255,0.9968509826648845,1.0925949740678071,0.9621060606952698,0.8809278803934004
48,RDC6,False,,0.0,0.4001257804416941,0.040677925825293455,False,0.6344565736106684,0.5100586551114004,0.036663242478356554,0.31759132016305236,0.03286570888182648,0.7543717336966553,0.8208804893250145,0.9631841950376372,0.9313113563315862,1.0937615053144891,1.0783419221340498,0.9751661175992334,1.0669944176175972
49,RDC8,False,,0.0,0.4020744442625144,0.026909887566487167,False,0.5168038922190207,0.7437277270562533,0.047796000805800945,0.6241649128609461,0.026804656374016463,0.7681393110694932,0.7536882468436039,0.902960433450225,1.0738358426547219,1.039271101442052,1.014194231725824,1.0158546330702403,1.1329885475810613
50,RDC6,False,,0.0,0.43886386803122424,0.06059294812462687,False,0.5490091997982883,0.5643566979855423,0.017105484350843,0.6609874710263529,0.03928207819783671,0.8440062031665206,0.7847155558880953,1.015554294753482,0.9947675693158675,0.9768191760028208,1.096958628084128,1.004692935077014,1.1502665239038246
51,RDC5,False,,0.0,0.42346723640111616,0.05375057603639596,False,0.6015978174417453,0.46973413122203117,0.037935036110388974,0.4796139768472358,0.04708052321446404,0.7943800950041564,0.8186867135996455,0.9888510523132732,0.972245453358418,0.9178007861485357,1.0616073925367093,1.0486701760352726,0.8621672711253986
52,RDC9,False,,0.0,0.5512114143032669,0.11580966750461677,False,0.4766123029579711,0.8015155315493613,0.06745448605469784,0.9792357111993242,0.002368493235679468,0.7964928034602015,0.769241031670224,0.986742540862575,1.03000768897181,1.0413550046783595,0.9047601723049112,1.026040769607288,0.9422096398281711
53,RDC10,False,,0.0,0.6028369650674714,0.14467463991920732,False,0.4440456514463836,0.9677022184956836,0.0655971840347601,0.4587527834760601,0.02576242413894038,0.8190299817000519,0.8221217809415414,1.0508075472472558,0.9201260371573337,1.06874285295124,0.9318386200671278,1.0293454973961347,0.9976465045085146
54,RDC8,False,,0.0,0.464559361332032,0.06822082211154726,False,0.46057974905575605,0.777405833614866,0.011267258666378612,0.2546631460738799,0.03001648945673853,0.7668715551601313,0.7674745128539199,0.9462942746428411,1.0876656580728592,0.9124561192336634,0.9481308724129426,1.017262052271771,0.8413869247233179
55,RDC1,False,,0.0,0.4319776120786607,0.06697796252909219,False,0.6089240373021064,0.04071656815185869,0.08591766053083882,0.8263426193245528,0.014972129131262606,0.7655327989406361,0.8082631502198752,0.9269962301551256,0.9115320425360747,1.0107381740329047,0.920523124452571,1.0397463564260054,0.8466869812066381
56,RDC3,False,,0.0,0.4569676078318713,0.06850940355508273,False,0.5957460383423997,0.295466590764846,0.025941127795304827,0.9558324343748779,0.016457750743698277,0.7597394393556767,0.7950089227440612,0.9678613222113006,1.0294098127442868,1.0192391262173575,0.9943388269878041,1.0438864773688503,1.1002887655661147
57,RDC2,False,,0.0,0.41518675401829486,0.05180029046711803,False,0.4824121171009859,0.11101394840516222,0.029180363195814237,0.39412299499133785,0.045473486871578706,0.7700964904841772,0.827416672982061,0.941661069720748,0.9420941392621147,0.9536722294270352,0.9856089571380914,1.036394614828124,1.0290489159234248
58,RDC3,False,,0.0,0.48125833104909316,0.07940937107329915,False,0.5475095346824221,0.2660592858972207,0.0015513093062786293,0.24542299847476215,0.022760480527819964,0.7955481113900755,0.7869825015100982,0.952130472593899,1.0548450894210268,1.0725878465360492,0.9466743975302662,1.0160432146208593,1.1777852302401315
59,RDC6,False,,0.0,0.42068814917134906,0.04084982116713708,False,0.520624195366758,0.5324716238546562,0.07881800760602992,0.6040568504310773,0.020130636691989563,0.8324306700009614,0.8491588925444076,0.9197132040810493,1.0663710020174424,1.0901148178235343,1.0083005519307215,0.9946194043860328,1.0793878585246128
60,RDC2,False,,0.0,0.5413337258756545,0.10499626157205705,False,0.5046878956260067,0.18740118800406197,0.039298681975066946,0.46684364313684523,0.030640351359869512,0.8256096400137887,0.7895244096769981,1.0161785007562345,1.083203805865081,1.0058946371154536,0.978076132850336,1.02083492808742,0.9268328779525583
61,RDC7,False,,0.0,0.44387390650342035,0.07199873174474274,False,0.6187168107043157,0.6499948756238813,0.024242001297385126,0.7350797496546936,0.0031652794936047404,0.7646637403621613,0.7946967876891458,1.0020895054592254,0.9222111908498885,1.0087221567569808,1.035302573874186,0.9779000297751209,0.9157349023773088
62,RDC5,False,,0.0,0.6723316460872317,0.1501970562686599,False,0.544997836680812,0.49265104491600276,0.019741625925173298,0.19741838718782817,0.03573621943086885,0.8042307995755184,0.8430184661497242,1.0460793668279293,1.0948601360839592,0.9847082008468702,0.9173328240454017,0.9798509614141312,1.189483489222852
63,RDC6,False,,0.0,0.772407138441578,0.17842357126609232,False,0.4660620390882507,0.5210990192959053,0.02685242911847654,0.013320383713264947,0.027973015825334048,0.7993127630583826,0.8288024993295897,1.078689640294486,1.046320477821724,1.0259483949272383,0.9093066684073203,0.9908694022627792,1.0749211913092294
64,RDC4,False,,0.0,0.5787993290461235,0.13828312494223982,False,0.5228307955794664,0.35028964280943237,0.031635586946881636,0.7430951004986062,0.0018646386726203998,0.7717525852330669,0.796607262556966,1.0447698904954115,0.9248208485055174,0.9592000246586574,0.9236355995798413,0.9991671866639734,0.9497669555151835
65,RDC5,False,,0.0,0.4962066351048612,0.09016825150437052,False,0.6036938976566918,0.48271207204072,0.05078844921033257,0.11048958555992887,0.044604332372420424,0.8082044773395516,0.7582520888545816,1.0195900955772945,1.0146962594452569,1.0755130032074427,1.0269416513011504,1.0081088561664002,0.9378647318634392
66,RDC8,False,,0.0,0.4378296101041403,0.0665408985416658,False,0.6488543210839919,0.7025539199778796,0.04802526359541209,0.08218984622515535,0.015167707838041583,0.8369242228005186,0.8377147431845705,0.9399004532909824,0.9551828505511064,0.9107268952864328,0.9363588769523213,0.9696201566132882,0.8225106303444827
67,RDC1,False,,0.0,0.3920947145173796,0.023227884895969317,False,0.4967681827783792,0.05948930548960156,0.09630946627463974,0.6556305490915905,0.025211634431098168,0.8172991479235531,0.8145999301488865,0.9343003004833762,1.035038641482333,1.0209216047567236,1.0843685890753259,1.0077005635272736,1.1130727320461928
