scenario,arm,metric,n,n_missing,mean,sd,median,q1,q3,ci_lo,ci_hi
S1,A4,censored_restore,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A5,detection_latency,54,0,35.370370370370374,4.489174804602214,35.25,32.0,39.0,34.2037037037037,36.56481481481482
S1,A5,containment_latency,54,0,52.37137037037037,4.489174804602214,52.250999999999976,49.000999999999976,56.000999999999976,51.232481481481486,53.575074074074074
S1,A5,t_service_restore,54,0,98.32407407407408,4.928888090201506,98.0,95.5,101.375,97.01851851851852,99.62986111111111
S1,A5,nri,54,0,0.975481407590778,9.374007333713462e-05,0.9754837663781375,0.9754064473980297,0.9755607271880143,0.9754566449875443,0.9755059251352188
S1,A5,fp_rate_holdout,54,0,0.019537037037037002,0.0034279674541230526,0.019374999999999948,0.016770833333333277,0.021979166666666626,0.01864197530864194,0.020439814814814782
S1,A5,blast_recall,54,0,0.7166666666666666,0.21609746228854046,0.8,0.5,1.0,0.6592592592592591,0.7740740740740739
S1,A5,whatif_abs_err,54,0,0.031153501808778294,0.017200910906280568,0.028928786320611098,0.018763227048983477,0.04162616120693522,0.026743836697039572,0.03565495379681468
S1,A5,orchestrator_cpu_s,54,0,0.0003681491851852111,3.838994509415048e-05,0.00036825050000065,0.0003410592499992,0.00039046174999945,0.0003582520120371161,0.00037834689861118123
S1,A5,availability_below_amin,54,0,0.07654320987654319,0.003950882286782229,0.0764583333333333,0.07375,0.0791666666666666,0.07550925925925923,0.07755401234567898
S1,A5,action_regret,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,A5,detected,54,0,1.0,,,,,0.9335864119091037,1.0
S1,A5,contained,54,0,1.0,,,,,0.9335864119091037,1.0
S1,A5,recovered,54,0,1.0,,,,,0.9335864119091037,1.0
S1,A5,policy_violation,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A5,unsafe_action,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A5,rollback,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A5,action_optimal,54,0,1.0,,,,,0.9335864119091037,1.0
S1,A5,censored_restore,54,0,0.0,,,,,0.0,0.0664135880908964
S2,A0,detection_latency,0,54,,,,,,,
S2,A0,containment_latency,0,54,,,,,,,
S2,A0,t_service_restore,0,54,,,,,,,
S2,A0,nri,54,0,0.9016589963595251,0.00011217601364950739,0.9016279202091357,0.9015795894831773,0.9017564159147371,0.9016290570712205,0.9016894411736677
