t_rel_s,mean,sd,ci95_lo,ci95_hi,n,scenario,method
209.0,0.9979205,0.0020155826505138955,0.9969771782822294,0.9988638217177706,20,S2,framework
210.0,0.9982660000000003,0.0018722162493180429,0.9973897758233861,0.9991422241766146,20,S2,framework
211.0,0.9974165000000002,0.002015347103446061,0.9964732885216507,0.9983597114783496,20,S2,framework
212.0,0.9983445,0.0019342058753972085,0.997439263785332,0.999249736214668,20,S2,framework
213.0,0.998878,0.0013137635772246456,0.9982631397192291,0.999492860280771,20,S2,framework
214.0,0.9972055000000001,0.0027952638045168677,0.995897276269742,0.9985137237302582,20,S2,framework
215.0,0.9982090000000003,0.0018973746404745125,0.9973210013338825,0.9990969986661182,20,S2,framework
216.0,0.9990330000000002,0.0014504122825850876,0.998354186156502,0.9997118138434984,20,S2,framework
217.0,0.9987649999999999,0.00160923486231975,0.9980118549011211,0.9995181450988787,20,S2,framework
218.0,0.9980329999999998,0.001747386318868392,0.9972151980291883,0.9988508019708113,20,S2,framework
219.0,0.9987885000000002,0.0014751031186077475,0.9980981304895368,0.9994788695104636,20,S2,framework
220.0,0.9978959999999999,0.0023618712474378634,0.99679061023009,0.9990013897699098,20,S2,framework
221.0,0.9991315000000001,0.0011775723242957897,0.9985803791876282,0.9996826208123719,20,S2,framework
222.0,0.9982455,0.0017059137850739346,0.997447107772475,0.999043892227525,20,S2,framework
223.0,0.99806,0.002210846468044122,0.9970252920025727,0.9990947079974272,20,S2,framework
224.0,0.9984945,0.0020167573634817682,0.997550628499637,0.9994383715003629,20,S2,framework
225.0,0.9984560000000002,0.0017262841139584451,0.9976480741650938,0.9992639258349066,20,S2,framework
226.0,0.9987110000000001,0.0018292791217480139,0.9978548710176589,0.9995671289823413,20,S2,framework
227.0,0.9984055,0.0019194420104756843,0.9975071734868097,0.9993038265131902,20,S2,framework
228.0,0.998479,0.001484633217152862,0.9977841702661229,0.9991738297338771,20,S2,framework
229.0,0.9984590000000001,0.0015356496996385607,0.9977402938173549,0.9991777061826453,20,S2,framework
230.0,0.998002,0.001977687644966375,0.997076413690757,0.9989275863092429,20,S2,framework
